trade_date,is_trade,next_is_trade,next_open_up,next_open_return,new_on_balance_volume,fund_size_neutral,eri_high_5,eri_high_10,eri_high_20,eri_low_5,eri_low_10,eri_low_20,emv_5,emv_10,emv_20,amplitude_5,amplitude_10,amplitude_20,turnover_rate_5,turnover_rate_10,turnover_rate_20,k_indicator_5,k_indicator_10,k_indicator_20,d_indicator_5,d_indicator_10,d_indicator_20,j_indicator_5,j_indicator_10,j_indicator_20,investment_income_coverage,interest_income_coverage,profit_margin,peg,eps,expense_coverage_ratio,roa,debt_to_equity_ratio,roe,pb_ratio,pe_ratio,成交额_std_5,Stochastic_K_20,Volume_Ratio_20,MeanAmplitude_5,成交额_mean_5,On_balance_value,Popularity_Index_20,K线长度_max_20,成交额_std_10,bais_5,bais_10,bais_20,涨跌幅_10,涨跌幅_20,量价相关系数_10,alpha150,涨跌幅_std_5,涨跌幅_std_10,涨跌幅_std_20,涨跌幅_mean_10,涨跌幅_mean_20,close,next_return
2023/5/26,1,1,FALSE,-0.007594937,-31716836.94,11610344476,-0.008410145,-0.038862034,-0.094353807,-0.05374868,-0.084200569,-0.139692342,1.33E-11,-1.59E-12,8.94E-13,0.062659847,0.065384615,0.091025641,0.046942701,0.03940355,0.0402199,31.7014162,30.16484399,22.27575994,38.53231674,33.7192334,25.06094904,18.03961512,23.05606518,16.70538175,-15.5021111,0.097875815,,0.015551642,-0.049574836,,-0.071202312,0.002614559,-0.071388475,-0.10270532,0.108461021,220142877.2,0.324324324,0.928599325,0.024713244,577357531.6,1.11E-05,5.454545455,-16.77419355,180794650.3,-0.016679114,-0.015453639,-0.029960707,-0.017412935,-0.050480769,0.676083129,1.001590463,0.018455089,0.015221249,0.01240491,-0.001651401,-0.002513769,0.79,-0.011392405
2023/5/26,1,1,FALSE,-0.010484928,39526761.67,5098119401,-0.011295404,-0.02012468,-0.030443748,-0.020295404,-0.02912468,-0.039443748,-3.96E-11,-3.16E-11,-1.10E-11,0.049006623,0.054304636,0.071523179,0.017371713,0.017128895,0.019311244,17.28098,13.55594651,9.940337496,22.96306288,17.15574133,12.29848076,5.916814253,6.356356891,5.224050962,-18.36319822,0.182013825,,-0.203737512,-0.334178516,,-0.235243726,0.026739713,-0.241534075,0.521927419,-0.181990034,5584409.813,0.103527812,0.760925939,0.014479013,92166038,2.62E-07,5,-6.470588235,7832702.991,-0.013993263,-0.023733162,-0.033221114,-0.025608195,-0.030573248,-0.304943669,1.00028556,0.009279261,0.009336124,0.008327395,-0.002551721,-0.001518381,0.761,0.00131406
2023/5/26,1,1,FALSE,-0.011450382,26164440,1180423538,-0.010718753,-0.019192723,-0.030078556,-0.020718753,-0.029192723,-0.040078556,-3.95E-11,-5.11E-11,-1.67E-11,0.038610039,0.055341055,0.065637066,0.034829787,0.036381796,0.037823897,21.2013512,15.94739532,13.80883567,23.52824529,19.74112355,16.50331306,16.54756303,8.359938858,8.419880896,-16.24488196,0.208792115,,,-0.34627404,,-0.285372659,0.001151787,-0.285701347,0.311574195,-0.197603286,5011065.796,0.132218018,0.8447928,0.012594409,40321700,1.14E-06,4.1,-9.230769231,5304805.313,-0.011335013,-0.020708583,-0.028585571,-0.023631841,-0.015056462,0.218749797,1.001830315,0.005537483,0.0070471,0.009846877,-0.002366421,-0.000712458,0.785,0.001273885
2023/5/26,1,1,FALSE,-0.009186352,136783000.8,6215244360,-0.010496644,-0.019211568,-0.029541399,-0.020496644,-0.029211568,-0.039541399,-5.38E-12,-9.79E-12,-8.46E-12,0.049136786,0.055776892,0.073041169,0.028206032,0.028430912,0.029990045,18.773418,14.72723471,10.84223293,23.54377213,17.51683064,12.36671982,9.232709743,9.148042857,7.793259138,-19.83019736,0.016588973,,-0.157988083,-0.303686589,,-0.242709482,0.042780151,-0.25309263,0.349327502,-0.150495032,30440695.89,0.109737374,0.871404861,0.014012529,187140179.6,3.58E-07,4.5,-10,24266809.52,-0.011431541,-0.021095961,-0.030820173,-0.023106547,-0.029336735,-0.295856734,1.001257219,0.008783053,0.008805163,0.008034953,-0.002300189,-0.001456978,0.761,0
2023/5/26,1,1,FALSE,0.000928074,-15563600,9967287890,-0.022609685,-0.024332105,0.007586572,-0.034609685,-0.036332105,-0.004413428,-4.25E-14,-6.78E-12,7.47E-13,0.013937282,0.020441347,0.031220876,0.064301066,0.065351508,0.065576212,28.60229902,18.22824836,32.3506396,32.86015327,24.75814953,42.42028833,20.08659051,5.168446015,12.21134214,6.958502456,0.262014044,,0.097916673,0.090971205,,0.093196018,0.000587435,0.093250765,0.162138979,0.247531749,103348613.4,0.359044776,0.859279643,0.003275006,542413880.8,1.73E-05,4.36,-2.972972973,129118065.2,-0.005721141,-0.00812372,-0.01054879,-0.012600229,-0.001390176,0.609641663,0.999815957,0.005021212,0.003969845,0.007055909,-0.001260137,-4.61E-05,4.31,0.015081206
2023/5/26,1,1,FALSE,-0.012027491,3730944.444,147493299.8,-0.008414669,-0.019945176,-0.029388815,-0.017414669,-0.028945176,-0.038388815,-2.94E-10,-3.33E-10,-3.65E-10,0.056140351,0.073684211,0.114035088,0.017926362,0.017086717,0.021699003,25.99329183,18.30680777,11.45429853,24.17758803,14.86001932,8.910261763,29.62469942,25.20038467,16.54237205,-29.89318589,0.0157127,,-1.415066391,-0.321812028,,-0.301983849,0.009156207,-0.304748876,0.145320983,-0.17406875,906097.7854,0.09033396,0.873610077,0.018088509,3277689.6,0.000108248,6.222222222,-7.924528302,946611.4961,-0.010204082,-0.021190716,-0.03936618,-0.033222591,-0.074721781,-0.564064471,1.001895533,0.00921264,0.010491244,0.013570303,-0.003323303,-0.003788658,0.582,0.058419244
2023/5/26,1,1,FALSE,-0.022222222,-1848443.478,80557951.39,-0.001520192,-0.006354991,-0.018551474,-0.024520192,-0.029354991,-0.041551474,-8.85E-11,-5.81E-11,8.85E-11,0.051801802,0.057432432,0.067045455,0.147188071,0.137561508,0.177911264,29.05260107,34.96325069,45.46060839,35.69278342,46.38201627,48.27886052,15.77223636,12.12571952,39.82410414,-17.56188579,0.023854533,,-0.071934842,-0.328979953,,-0.29034275,0.003210762,-0.291274971,0.21811527,-0.181296777,3956543.224,0.482953995,0.959753149,0.023071964,13540159.6,1.84E-05,0.903225806,-8.732394366,3850420.191,-0.013837031,-0.022106066,-0.019383019,-0.00443459,0.015837104,-0.242039332,1.004375673,0.011580462,0.014188778,0.01640353,-0.000354412,0.000912213,0.898,-0.016703786
2023/5/26,1,1,FALSE,0.004686036,12727587.5,1288771633,-0.025136303,-0.051896354,-0.058727491,-0.041136303,-0.067896354,-0.074727491,-5.18E-11,-5.43E-11,-5.44E-12,0.057034221,0.087452471,0.189163498,0.06348071,0.073168301,0.112728894,15.24307819,8.835370961,5.848638569,15.8768256,9.761832383,9.0575976,13.97558337,6.982448117,-0.569279495,-20.64073237,0.026405701,,-0.170153697,-0.176311163,,-0.219496612,0.001630548,-0.219854512,-0.097422049,-0.027543123,26044871.28,0.040541953,0.85394385,0.016538478,86191220.2,9.85E-06,10.70588235,-10,18100186.37,-0.013182325,-0.034338663,-0.072020952,-0.066725198,-0.090675791,-0.336841537,1.000920046,0.010675907,0.010503273,0.016517907,-0.006831659,-0.004612057,1.063,0.030103481
2023/5/26,1,1,FALSE,-0.004085802,16876400,122814859.5,-0.012421906,-0.027795854,-0.046762852,-0.024421906,-0.039795854,-0.058762852,-9.84E-11,-1.97E-10,-1.88E-10,0.044467425,0.052740434,0.084798345,0.237239247,0.245000933,0.259743976,28.17122276,18.76024002,12.18443163,30.18890341,18.09049046,11.75688537,24.13586146,20.09973913,13.03952416,-3.792668147,0.010825896,,-0.038418854,-0.068137273,,-0.076364004,0.006276847,-0.076843329,-0.024210483,0.079583847,3801754.789,0.137199755,0.828825161,0.012773741,29217948.8,2.30E-05,10.71428571,-3.125,3518093.346,-0.009710702,-0.016673363,-0.033754441,-0.033563672,-0.051356589,0.170619853,1.003301505,0.010355303,0.008459618,0.007469646,-0.003375863,-0.00260606,0.979,-1.11E-16
2023/5/26,1,1,FALSE,-0.004524887,66846239.71,963699969,0.015574579,-0.001363531,-0.006615176,-0.019425421,-0.036363531,-0.041615176,-3.87E-11,-1.44E-11,-1.36E-10,0.060114504,0.079349904,0.142447419,0.094794322,0.094934048,0.124234316,48.08588933,39.89309323,21.71997968,42.25029303,33.23555181,18.62191302,59.75708191,53.20817608,27.91611299,-48.3583066,0.020918399,,0.586794365,-0.054801598,,-0.227586221,0.004538442,-0.228619108,-0.66287925,0.093674558,28778947.66,0.185463615,0.832531409,0.030933596,89364624.4,3.35E-05,4.730769231,-12.44897959,22129006.48,0.015378914,0.010510787,-0.007785624,0.001828154,-0.080536913,0.325917406,0.998720397,0.016162418,0.02406705,0.026518562,0.000441207,-0.003857742,1.096,0.086678832
