因子,方向
"['new_on_balance_volume', 'eri_high_5', 'close']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'eri_high_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'eri_low_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'eri_low_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'eri_low_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'emv_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'emv_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'emv_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'amplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'amplitude_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'amplitude_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'turnover_rate_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'turnover_rate_10']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'turnover_rate_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'k_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'k_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'k_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'd_indicator_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'd_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'd_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'j_indicator_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'j_indicator_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'j_indicator_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'investment_income_coverage']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'interest_income_coverage']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'profit_margin']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'peg']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'eps']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'expense_coverage_ratio']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'roa']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'debt_to_equity_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'roe']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'pb_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'pe_ratio']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '成交额_std_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'Stochastic_K_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'Volume_Ratio_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'MeanAmplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '成交额_mean_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'On_balance_value']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'Popularity_Index_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'K线长度_max_20']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', '成交额_std_10']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'bais_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', 'bais_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'bais_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '涨跌幅_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '涨跌幅_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '量价相关系数_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'alpha150']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_10', '涨跌幅_std_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '涨跌幅_std_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '涨跌幅_std_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '涨跌幅_mean_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', '涨跌幅_mean_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_10', 'close']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'eri_low_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'eri_low_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'eri_low_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'emv_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'emv_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'emv_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'amplitude_5']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'amplitude_10']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'amplitude_20']","['true', 'false', 'false']"
"['new_on_balance_volume', 'eri_high_20', 'turnover_rate_5']","['true', 'false', 'true']"
"['new_on_balance_volume', 'eri_high_20', 'turnover_rate_10']","['true', 'false', 'true']"
